Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Comment [Cell Line],Experimental Condition [Condition],Comment [Gene Identifier],Comment [Gene Symbol],Source Name,Assay Name,Comment [Image File Type],Channels
CRY2_AC16,AC16_T18d24h_Rep1_PoorProbeChan1_Cry2Chan2_DAPIChan3_1.dv,homo sapiens,NCBITaxon,9606,AC16,,,,18°C 24h ,ENSG00000121671,CRY2,RNA-FISh,Rep1,Deconvolved image,"blank, CRY2, DAPI"
CRY2_AC16,AC16_T18d24h_Rep1_PoorProbeChan1_Cry2Chan2_DAPIChan3_10.dv,homo sapiens,NCBITaxon,9606,AC16,,,,18°C 24h ,ENSG00000121671,CRY2,RNA-FISh,Rep1,Deconvolved image,"blank, CRY2, DAPI"
CRY2_AC16,AC16_T18d24h_Rep1_PoorProbeChan1_Cry2Chan2_DAPIChan3_11.dv,homo sapiens,NCBITaxon,9606,AC16,,,,18°C 24h ,ENSG00000121671,CRY2,RNA-FISh,Rep1,Deconvolved image,"blank, CRY2, DAPI"
CRY2_AC16,AC16_T18d24h_Rep1_PoorProbeChan1_Cry2Chan2_DAPIChan3_12.dv,homo sapiens,NCBITaxon,9606,AC16,,,,18°C 24h ,ENSG00000121671,CRY2,RNA-FISh,Rep1,Deconvolved image,"blank, CRY2, DAPI"
CRY2_AC16,AC16_T18d24h_Rep1_PoorProbeChan1_Cry2Chan2_DAPIChan3_13.dv,homo sapiens,NCBITaxon,9606,AC16,,,,18°C 24h ,ENSG00000121671,CRY2,RNA-FISh,Rep1,Deconvolved image,"blank, CRY2, DAPI"
CRY2_AC16,AC16_T18d24h_Rep1_PoorProbeChan1_Cry2Chan2_DAPIChan3_14.dv,homo sapiens,NCBITaxon,9606,AC16,,,,18°C 24h ,ENSG00000121671,CRY2,RNA-FISh,Rep1,Deconvolved image,"blank, CRY2, DAPI"
CRY2_AC16,AC16_T18d24h_Rep1_PoorProbeChan1_Cry2Chan2_DAPIChan3_15.dv,homo sapiens,NCBITaxon,9606,AC16,,,,18°C 24h ,ENSG00000121671,CRY2,RNA-FISh,Rep1,Deconvolved image,"blank, CRY2, DAPI"
CRY2_AC16,AC16_T18d24h_Rep1_PoorProbeChan1_Cry2Chan2_DAPIChan3_16.dv,homo sapiens,NCBITaxon,9606,AC16,,,,18°C 24h ,ENSG00000121671,CRY2,RNA-FISh,Rep1,Deconvolved image,"blank, CRY2, DAPI"
CRY2_AC16,AC16_T18d24h_Rep1_PoorProbeChan1_Cry2Chan2_DAPIChan3_17.dv,homo sapiens,NCBITaxon,9606,AC16,,,,18°C 24h ,ENSG00000121671,CRY2,RNA-FISh,Rep1,Deconvolved image,"blank, CRY2, DAPI"
CRY2_AC16,AC16_T18d24h_Rep1_PoorProbeChan1_Cry2Chan2_DAPIChan3_18.dv,homo sapiens,NCBITaxon,9606,AC16,,,,18°C 24h ,ENSG00000121671,CRY2,RNA-FISh,Rep1,Deconvolved image,"blank, CRY2, DAPI"
CRY2_AC16,AC16_T18d24h_Rep1_PoorProbeChan1_Cry2Chan2_DAPIChan3_19.dv,homo sapiens,NCBITaxon,9606,AC16,,,,18°C 24h ,ENSG00000121671,CRY2,RNA-FISh,Rep1,Deconvolved image,"blank, CRY2, DAPI"
CRY2_AC16,AC16_T18d24h_Rep1_PoorProbeChan1_Cry2Chan2_DAPIChan3_2.dv,homo sapiens,NCBITaxon,9606,AC16,,,,18°C 24h ,ENSG00000121671,CRY2,RNA-FISh,Rep1,Deconvolved image,"blank, CRY2, DAPI"
CRY2_AC16,AC16_T18d24h_Rep1_PoorProbeChan1_Cry2Chan2_DAPIChan3_20.dv,homo sapiens,NCBITaxon,9606,AC16,,,,18°C 24h ,ENSG00000121671,CRY2,RNA-FISh,Rep1,Deconvolved image,"blank, CRY2, DAPI"
CRY2_AC16,AC16_T18d24h_Rep1_PoorProbeChan1_Cry2Chan2_DAPIChan3_21.dv,homo sapiens,NCBITaxon,9606,AC16,,,,18°C 24h ,ENSG00000121671,CRY2,RNA-FISh,Rep1,Deconvolved image,"blank, CRY2, DAPI"
CRY2_AC16,AC16_T18d24h_Rep1_PoorProbeChan1_Cry2Chan2_DAPIChan3_22.dv,homo sapiens,NCBITaxon,9606,AC16,,,,18°C 24h ,ENSG00000121671,CRY2,RNA-FISh,Rep1,Deconvolved image,"blank, CRY2, DAPI"
CRY2_AC16,AC16_T18d24h_Rep1_PoorProbeChan1_Cry2Chan2_DAPIChan3_3.dv,homo sapiens,NCBITaxon,9606,AC16,,,,18°C 24h ,ENSG00000121671,CRY2,RNA-FISh,Rep1,Deconvolved image,"blank, CRY2, DAPI"
CRY2_AC16,AC16_T18d24h_Rep1_PoorProbeChan1_Cry2Chan2_DAPIChan3_4.dv,homo sapiens,NCBITaxon,9606,AC16,,,,18°C 24h ,ENSG00000121671,CRY2,RNA-FISh,Rep1,Deconvolved image,"blank, CRY2, DAPI"
